订单号,订单日期,月份,类别,子类别,单价,数量,总销售额,折扣率,利润,地区,颜色,尺码,客户ID,利润率
DD101454,2024-12-08,12,上衣,T恤,210.0,1,178.5,85,101.32,华东,墨绿,M,C10050,56.76
DD101135,2024-05-10,5,裤装,牛仔裤,560.0,1,560.0,100,264.82,东北,驼色,XL,C10043,47.29
DD102072,2024-09-22,9,裤装,休闲裤,280.0,1,280.0,100,138.06,华中,酒红,M,C10069,49.31
DD100411,2024-08-13,8,外套,风衣,1120.0,1,1008.0,90,394.13,华南,白色,L,C10125,39.1
DD102054,2024-03-05,3,裤装,短裤,340.0,1,340.0,100,174.88,华北,藏青,L,C10512,51.44
DD101689,2024-09-04,9,连衣裙,衬衫裙,680.0,1,646.0,95,376.92,西南,黑色,XL,C10522,58.35
DD101973,2024-02-20,2,上衣,针织衫,110.0,1,99.0,90,57.2,东北,墨绿,XS,C10023,57.78
DD100529,2024-01-14,1,连衣裙,吊带裙,430.0,1,430.0,100,264.73,华北,米色,L,C10212,61.57
DD102074,2024-12-28,12,上衣,卫衣,90.0,1,90.0,100,56.03,华东,黑色,XXL,C10358,62.26
DD101179,2024-06-11,6,裤装,休闲裤,500.0,3,1425.0,95,762.85,华北,灰色,XL,C10580,53.53
DD101300,2024-11-06,11,外套,羽绒服,1190.0,1,1190.0,100,466.6,华北,黑色,M,C10359,39.21
DD101118,2024-03-11,3,连衣裙,吊带裙,540.0,2,1080.0,100,551.42,华东,黑色,L,C10301,51.06
DD100528,2024-03-13,3,上衣,卫衣,210.0,1,210.0,100,130.07,华东,墨绿,M,C10040,61.94
DD102114,2024-10-06,10,外套,夹克,980.0,1,980.0,100,462.54,华南,酒红,XS,C10490,47.2
DD100790,2024-08-22,8,上衣,T恤,190.0,1,171.0,90,98.21,华北,白色,M,C10474,57.43
DD101340,2024-01-29,1,裤装,牛仔裤,480.0,1,480.0,100,257.74,华南,白色,S,C10375,53.7
DD101284,2024-06-07,6,连衣裙,衬衫裙,470.0,3,1410.0,100,825.98,华中,黑色,M,C10157,58.58
DD101453,2024-06-12,6,上衣,衬衫,390.0,1,390.0,100,245.89,华北,米色,XL,C10326,63.05
DD101804,2024-10-27,10,外套,羽绒服,960.0,1,864.0,90,342.78,华南,米色,L,C10297,39.67
DD100174,2024-07-17,7,连衣裙,吊带裙,310.0,1,294.5,95,150.38,华南,灰色,M,C10576,51.06
DD102209,2024-03-28,3,裤装,西装裤,390.0,3,1111.5,95,552.08,华东,酒红,M,C10209,49.67
DD101718,2024-05-26,5,外套,风衣,970.0,2,1940.0,100,935.97,华北,墨绿,L,C10349,48.25
DD101299,2024-01-04,1,配饰,包包,160.0,1,160.0,100,113.12,东北,驼色,XL,C10480,70.7
DD100189,2024-04-09,4,上衣,卫衣,230.0,1,218.5,95,135.99,东北,黑色,XS,C10067,62.24
DD100212,2024-07-25,7,上衣,T恤,280.0,2,560.0,100,307.34,华北,白色,M,C10364,54.88
DD101026,2024-10-08,10,连衣裙,针织裙,310.0,1,263.5,85,144.12,华南,白色,M,C10569,54.69
DD102076,2024-05-24,5,配饰,帽子,100.0,1,70.0,70,42.88,西南,墨绿,M,C10436,61.26
DD101551,2024-09-28,9,连衣裙,A字裙,600.0,1,600.0,100,357.05,华北,驼色,L,C10299,59.51
DD101335,2024-05-28,5,裤装,短裤,270.0,2,513.0,95,274.39,华东,墨绿,M,C10442,53.49
DD102519,2024-04-12,4,连衣裙,吊带裙,220.0,1,110.0,50,63.27,华南,墨绿,L,C10019,57.52
DD101955,2024-10-01,10,裤装,西装裤,570.0,2,1140.0,100,574.37,西南,酒红,S,C10318,50.38
DD100388,2024-05-20,5,裤装,西装裤,440.0,1,440.0,100,237.26,东北,墨绿,XL,C10360,53.92
DD100451,2024-02-12,2,上衣,针织衫,360.0,1,324.0,90,198.02,华东,驼色,XL,C10508,61.12
DD100808,2024-05-19,5,连衣裙,衬衫裙,670.0,1,636.5,95,368.55,华南,酒红,XL,C10211,57.9
DD100889,2024-06-25,6,上衣,T恤,330.0,1,330.0,100,197.67,华东,墨绿,L,C10566,59.9
DD102163,2024-05-08,5,裤装,休闲裤,550.0,2,1100.0,100,531.26,东北,驼色,L,C10264,48.3
DD101768,2024-04-13,4,配饰,围巾,100.0,1,85.0,85,62.05,华中,藏青,S,C10126,73.0
DD100508,2024-04-09,4,上衣,卫衣,340.0,1,289.0,85,180.36,华东,米色,L,C10260,62.41
DD100681,2024-12-27,12,上衣,针织衫,360.0,1,324.0,90,180.5,华东,墨绿,L,C10501,55.71
DD100071,2024-06-06,6,连衣裙,A字裙,660.0,1,627.0,95,343.23,华中,黑色,S,C10083,54.74
DD102425,2024-11-07,11,上衣,衬衫,110.0,2,220.0,100,116.86,华东,墨绿,L,C10562,53.12
DD100195,2024-04-13,4,上衣,卫衣,90.0,1,90.0,100,59.58,华南,驼色,XL,C10317,66.2
DD100074,2024-09-11,9,外套,夹克,1200.0,1,1020.0,85,385.1,华中,墨绿,XS,C10442,37.75
DD101314,2024-01-25,1,裤装,休闲裤,320.0,2,576.0,90,284.94,华南,灰色,M,C10480,49.47
DD100408,2024-08-11,8,上衣,卫衣,190.0,1,171.0,90,94.82,东北,驼色,L,C10197,55.45
DD102501,2024-04-17,4,配饰,围巾,150.0,1,142.5,95,97.51,华东,驼色,L,C10036,68.43
DD101564,2024-08-20,8,上衣,卫衣,230.0,1,115.0,50,64.46,东北,白色,XL,C10036,56.05
DD101388,2024-05-22,5,外套,风衣,1200.0,1,1080.0,90,447.75,华东,白色,M,C10000,41.46
DD101478,2024-07-09,7,连衣裙,针织裙,360.0,1,252.0,70,145.45,东北,白色,S,C10376,57.72
DD102348,2024-09-26,9,上衣,T恤,270.0,1,270.0,100,163.96,华中,米色,M,C10089,60.73
DD101150,2024-01-24,1,配饰,围巾,160.0,1,136.0,85,89.5,东北,白色,L,C10039,65.81
DD102516,2024-04-15,4,配饰,腰带,210.0,1,189.0,90,132.05,华东,灰色,M,C10485,69.87
DD101617,2024-04-02,4,上衣,衬衫,100.0,4,380.0,95,225.49,华北,米色,L,C10372,59.34
DD101058,2024-08-02,8,配饰,包包,130.0,1,104.0,80,71.46,西南,驼色,XXL,C10541,68.71
DD100765,2024-07-22,7,裤装,短裤,440.0,4,1760.0,100,935.25,西南,黑色,XS,C10025,53.14
DD101104,2024-09-08,9,上衣,衬衫,210.0,1,210.0,100,120.68,华南,藏青,S,C10508,57.47
DD101678,2024-05-06,5,配饰,帽子,40.0,1,32.0,80,20.8,东北,米色,XXL,C10451,65.0
DD101449,2024-05-11,5,上衣,针织衫,180.0,1,180.0,100,112.58,东北,藏青,XL,C10279,62.54
DD102084,2024-04-10,4,配饰,帽子,100.0,1,85.0,85,55.51,东北,驼色,XXL,C10593,65.31
DD100669,2024-12-14,12,外套,羽绒服,710.0,1,710.0,100,287.98,西南,黑色,XXL,C10599,40.56
DD101622,2024-01-19,1,连衣裙,A字裙,670.0,1,603.0,90,320.37,东北,酒红,L,C10420,53.13
DD101357,2024-05-20,5,上衣,针织衫,120.0,2,240.0,100,131.28,华北,米色,S,C10441,54.7
DD101208,2024-09-23,9,连衣裙,A字裙,410.0,1,410.0,100,229.04,华北,墨绿,L,C10502,55.86
DD100472,2024-03-07,3,外套,夹克,1210.0,1,1210.0,100,554.31,西南,酒红,M,C10580,45.81
DD101271,2024-08-03,8,连衣裙,针织裙,310.0,1,310.0,100,150.87,华北,米色,S,C10316,48.67
DD101303,2024-01-26,1,外套,大衣,650.0,1,650.0,100,326.66,东北,米色,L,C10541,50.26
DD102536,2024-02-24,2,上衣,卫衣,290.0,1,275.5,95,155.52,华南,酒红,XS,C10244,56.45
DD101548,2024-06-06,6,上衣,衬衫,260.0,1,156.0,60,87.1,华东,酒红,M,C10255,55.83
DD100810,2024-09-18,9,上衣,衬衫,100.0,1,100.0,100,59.45,华中,酒红,XXL,C10501,59.45
DD101361,2024-10-22,10,连衣裙,吊带裙,670.0,1,636.5,95,336.39,西南,米色,XXL,C10364,52.85
DD101270,2024-11-19,11,外套,羽绒服,840.0,1,840.0,100,368.85,华中,黑色,M,C10138,43.91
DD101331,2024-05-11,5,配饰,包包,280.0,1,266.0,95,167.44,西南,米色,S,C10215,62.95
DD100655,2024-03-18,3,上衣,衬衫,220.0,2,418.0,95,249.63,华东,白色,M,C10468,59.72
DD100835,2024-03-13,3,裤装,牛仔裤,240.0,1,228.0,95,127.56,华南,藏青,S,C10280,55.95
DD100891,2024-12-06,12,上衣,衬衫,130.0,2,221.0,85,130.54,东北,酒红,XS,C10571,59.07
DD101237,2024-05-12,5,连衣裙,衬衫裙,570.0,1,570.0,100,316.2,东北,墨绿,L,C10006,55.47
DD100319,2024-06-27,6,连衣裙,A字裙,500.0,1,500.0,100,299.22,华东,米色,M,C10302,59.84
DD101672,2024-08-06,8,外套,夹克,460.0,1,437.0,95,170.26,西南,藏青,L,C10276,38.96
DD102041,2024-07-24,7,连衣裙,针织裙,220.0,1,220.0,100,111.89,华南,藏青,XS,C10265,50.86
DD100423,2024-05-09,5,裤装,牛仔裤,310.0,2,620.0,100,293.63,华北,驼色,M,C10377,47.36
DD100603,2024-11-20,11,裤装,牛仔裤,240.0,1,192.0,80,94.74,华南,酒红,L,C10446,49.34
DD101339,2024-03-07,3,上衣,T恤,260.0,2,494.0,95,257.3,西南,灰色,XXL,C10446,52.09
DD101801,2024-07-19,7,上衣,衬衫,200.0,1,190.0,95,104.9,华北,米色,XL,C10338,55.21
DD100355,2024-09-22,9,连衣裙,针织裙,510.0,2,1020.0,100,596.47,华北,白色,M,C10076,58.48
DD100044,2024-09-20,9,连衣裙,A字裙,270.0,1,270.0,100,129.23,华中,黑色,M,C10098,47.86
DD101869,2024-11-19,11,裤装,短裤,290.0,1,203.0,70,102.44,华北,酒红,M,C10562,50.46
DD100932,2024-07-10,7,外套,夹克,1250.0,1,1250.0,100,496.97,华中,酒红,L,C10192,39.76
DD101394,2024-05-29,5,外套,羽绒服,840.0,1,756.0,90,387.02,华南,白色,L,C10369,51.19
DD102119,2024-04-27,4,裤装,牛仔裤,170.0,1,153.0,90,84.53,华北,藏青,S,C10134,55.25
DD100619,2024-04-11,4,连衣裙,针织裙,440.0,1,440.0,100,241.75,华北,驼色,XS,C10373,54.94
DD100783,2024-09-15,9,连衣裙,针织裙,580.0,1,580.0,100,339.17,东北,藏青,M,C10014,58.48
DD100679,2024-07-24,7,裤装,西装裤,510.0,1,459.0,90,259.66,西南,白色,M,C10307,56.57
DD100963,2024-05-11,5,连衣裙,吊带裙,210.0,1,210.0,100,119.98,东北,驼色,XXL,C10577,57.13
DD102091,2024-11-10,11,上衣,卫衣,220.0,1,187.0,85,112.0,华北,灰色,XL,C10405,59.89
DD101777,2024-08-18,8,裤装,休闲裤,470.0,1,423.0,90,246.19,华南,黑色,M,C10031,58.2
DD101990,2024-09-04,9,裤装,西装裤,350.0,4,1400.0,100,687.56,华南,酒红,M,C10590,49.11
DD101437,2024-11-21,11,外套,夹克,960.0,1,960.0,100,365.22,东北,酒红,XS,C10409,38.04
DD101595,2024-09-18,9,配饰,围巾,80.0,1,72.0,90,52.97,华北,黑色,XS,C10060,73.57
DD102034,2024-05-09,5,连衣裙,吊带裙,560.0,1,560.0,100,317.49,西南,藏青,XXL,C10468,56.69
DD101570,2024-06-08,6,配饰,帽子,50.0,2,85.0,85,56.9,华北,黑色,XXL,C10317,66.94
DD101628,2024-11-13,11,上衣,T恤,160.0,1,160.0,100,84.99,西南,藏青,L,C10476,53.12
DD101731,2024-04-06,4,裤装,短裤,500.0,1,425.0,85,249.74,华北,驼色,XL,C10472,58.76
DD101287,2024-12-08,12,裤装,牛仔裤,160.0,1,160.0,100,84.76,华北,驼色,S,C10052,52.98
DD102415,2024-10-04,10,连衣裙,A字裙,400.0,1,380.0,95,204.16,华东,驼色,M,C10550,53.73
DD100179,2024-06-07,6,上衣,衬衫,190.0,2,304.0,80,183.77,华东,藏青,M,C10519,60.45
DD101194,2024-05-17,5,裤装,牛仔裤,190.0,1,180.5,95,96.28,华南,酒红,M,C10586,53.34
DD100322,2024-12-11,12,连衣裙,针织裙,680.0,1,680.0,100,422.87,西南,黑色,M,C10551,62.19
DD101445,2024-01-29,1,裤装,短裤,430.0,1,408.5,95,230.78,华中,米色,L,C10443,56.49
DD102366,2024-03-14,3,连衣裙,衬衫裙,500.0,1,425.0,85,261.94,华东,黑色,XL,C10037,61.63
DD101702,2024-10-26,10,外套,羽绒服,760.0,2,1292.0,85,573.69,东北,藏青,L,C10270,44.4
DD100830,2024-10-10,10,连衣裙,针织裙,350.0,2,630.0,90,385.6,华南,藏青,L,C10348,61.21
DD101923,2024-05-01,5,配饰,包包,230.0,4,828.0,90,565.98,西南,驼色,S,C10312,68.36
DD102368,2024-09-25,9,上衣,卫衣,270.0,1,270.0,100,168.49,华北,灰色,XS,C10575,62.4
DD100863,2024-04-11,4,裤装,短裤,590.0,1,590.0,100,288.46,西南,米色,M,C10452,48.89
DD102330,2024-07-17,7,连衣裙,针织裙,310.0,1,310.0,100,166.83,华中,墨绿,XL,C10141,53.82
DD102085,2024-11-27,11,外套,羽绒服,860.0,1,688.0,80,260.39,华中,米色,M,C10418,37.85
DD101957,2024-06-04,6,上衣,衬衫,300.0,1,270.0,90,172.32,华北,藏青,XL,C10150,63.82
DD100788,2024-04-08,4,上衣,卫衣,260.0,2,494.0,95,287.67,华北,酒红,L,C10090,58.23
DD101392,2024-09-12,9,连衣裙,针织裙,660.0,1,660.0,100,402.26,华中,米色,L,C10027,60.95
DD101905,2024-11-15,11,配饰,帽子,130.0,2,234.0,90,153.78,西南,驼色,XL,C10516,65.72
DD102363,2024-02-07,2,上衣,针织衫,180.0,1,144.0,80,84.74,华南,米色,XL,C10519,58.85
DD100656,2024-08-14,8,上衣,针织衫,130.0,2,156.0,60,94.79,西南,藏青,XS,C10419,60.76
DD100938,2024-07-23,7,上衣,针织衫,380.0,1,380.0,100,232.82,华北,墨绿,L,C10007,61.27
DD101868,2024-04-26,4,连衣裙,吊带裙,660.0,1,627.0,95,350.4,西南,酒红,L,C10342,55.89
DD101229,2024-05-19,5,上衣,衬衫,300.0,1,300.0,100,170.75,华南,酒红,L,C10459,56.92
DD100566,2024-10-03,10,裤装,短裤,450.0,1,382.5,85,206.15,华南,灰色,M,C10284,53.9
DD101901,2024-07-23,7,上衣,衬衫,190.0,1,190.0,100,111.69,华中,墨绿,M,C10098,58.78
DD102061,2024-01-05,1,连衣裙,吊带裙,220.0,2,440.0,100,262.57,华中,驼色,XL,C10410,59.68
DD100837,2024-09-15,9,上衣,卫衣,340.0,1,306.0,90,161.21,华南,藏青,XL,C10508,52.68
DD100533,2024-04-24,4,外套,羽绒服,1020.0,1,918.0,90,420.35,华东,灰色,M,C10420,45.79
DD101835,2024-09-17,9,上衣,针织衫,310.0,2,620.0,100,394.65,东北,藏青,L,C10268,63.65
DD101387,2024-06-21,6,连衣裙,针织裙,690.0,1,483.0,70,256.22,华中,藏青,M,C10302,53.05
DD101553,2024-10-11,10,裤装,短裤,380.0,2,684.0,90,321.54,华北,黑色,M,C10025,47.01
DD102088,2024-10-23,10,配饰,围巾,190.0,3,541.5,95,332.1,华中,酒红,L,C10389,61.33
DD100094,2024-07-28,7,配饰,帽子,170.0,1,85.0,50,52.65,华中,墨绿,L,C10088,61.94
DD102205,2024-02-18,2,连衣裙,吊带裙,510.0,1,433.5,85,252.72,西南,黑色,M,C10207,58.3
DD101099,2024-12-11,12,连衣裙,吊带裙,280.0,1,266.0,95,139.64,华中,藏青,XXL,C10274,52.5
DD100565,2024-05-23,5,上衣,卫衣,330.0,1,313.5,95,174.06,西南,驼色,L,C10207,55.52
DD100283,2024-05-06,5,连衣裙,A字裙,280.0,1,266.0,95,146.42,华南,酒红,L,C10573,55.05
DD100135,2024-03-05,3,裤装,休闲裤,460.0,1,460.0,100,223.53,西南,灰色,S,C10217,48.59
DD100811,2024-05-22,5,连衣裙,衬衫裙,450.0,1,405.0,90,231.06,东北,灰色,M,C10375,57.05
DD102097,2024-05-15,5,裤装,牛仔裤,540.0,1,486.0,90,255.03,东北,墨绿,M,C10432,52.48
DD100680,2024-10-10,10,裤装,休闲裤,510.0,1,484.5,95,273.64,华中,灰色,XL,C10521,56.48
DD101725,2024-07-05,7,上衣,卫衣,180.0,2,342.0,95,212.75,西南,白色,L,C10585,62.21
DD102451,2024-04-14,4,裤装,短裤,340.0,1,340.0,100,165.43,华南,灰色,L,C10192,48.66
DD100870,2024-01-27,1,连衣裙,衬衫裙,610.0,1,610.0,100,344.97,华东,白色,XL,C10076,56.55
DD101701,2024-01-05,1,上衣,衬衫,130.0,2,221.0,85,142.24,华南,藏青,M,C10321,64.36
DD101034,2024-03-22,3,裤装,牛仔裤,190.0,1,180.5,95,90.9,华南,墨绿,XS,C10483,50.36
DD101744,2024-12-24,12,上衣,卫衣,190.0,3,513.0,90,306.71,华中,米色,M,C10357,59.79
DD101274,2024-03-03,3,裤装,牛仔裤,570.0,1,541.5,95,307.79,东北,驼色,XS,C10087,56.84
DD100523,2024-01-12,1,上衣,衬衫,190.0,1,180.5,95,108.63,东北,藏青,M,C10415,60.18
DD100462,2024-06-06,6,配饰,包包,130.0,1,130.0,100,93.04,华中,米色,L,C10419,71.57
DD100436,2024-11-10,11,外套,风衣,600.0,1,540.0,90,249.26,华南,酒红,XS,C10220,46.16
DD100415,2024-12-09,12,连衣裙,吊带裙,570.0,1,456.0,80,247.13,华南,白色,S,C10100,54.2
DD100762,2024-06-03,6,连衣裙,A字裙,370.0,1,351.5,95,192.57,东北,墨绿,M,C10568,54.79
DD101134,2024-08-11,8,裤装,西装裤,250.0,2,500.0,100,269.6,华中,米色,M,C10413,53.92
DD101884,2024-10-24,10,连衣裙,A字裙,660.0,1,594.0,90,357.27,东北,米色,L,C10272,60.15
DD101360,2024-04-06,4,上衣,卫衣,330.0,1,313.5,95,197.65,华东,酒红,XL,C10100,63.05
DD100222,2024-10-10,10,外套,风衣,550.0,1,550.0,100,278.27,华北,黑色,XL,C10427,50.59
DD101051,2024-06-09,6,上衣,针织衫,180.0,1,180.0,100,107.81,华东,白色,L,C10366,59.89
DD102396,2024-07-18,7,上衣,衬衫,130.0,1,130.0,100,69.09,东北,灰色,L,C10431,53.15
DD102587,2024-06-24,6,上衣,针织衫,340.0,1,272.0,80,164.88,华南,米色,S,C10051,60.62
DD101693,2024-12-16,12,外套,夹克,470.0,1,470.0,100,218.57,东北,黑色,L,C10144,46.5
DD100999,2024-01-06,1,上衣,针织衫,120.0,3,252.0,70,161.26,华南,酒红,L,C10212,63.99
DD100820,2024-06-05,6,上衣,衬衫,160.0,1,152.0,95,82.29,华中,藏青,L,C10394,54.14
DD102384,2024-02-02,2,连衣裙,针织裙,700.0,1,700.0,100,349.75,华中,黑色,S,C10498,49.96
DD102092,2024-06-18,6,裤装,短裤,400.0,1,360.0,90,186.2,华东,酒红,M,C10384,51.72
DD101600,2024-08-04,8,上衣,卫衣,330.0,2,594.0,90,346.1,华中,酒红,S,C10281,58.27
DD102424,2024-12-17,12,连衣裙,针织裙,510.0,1,510.0,100,302.39,华南,墨绿,M,C10486,59.29
DD100652,2024-10-21,10,上衣,卫衣,270.0,2,486.0,90,289.38,西南,黑色,M,C10516,59.54
DD102219,2024-10-22,10,上衣,T恤,300.0,1,300.0,100,188.27,华南,灰色,M,C10562,62.76
DD101042,2024-09-24,9,连衣裙,针织裙,530.0,1,530.0,100,323.59,华东,驼色,L,C10000,61.05
DD101033,2024-02-26,2,上衣,衬衫,150.0,1,135.0,90,80.57,华东,墨绿,L,C10552,59.68
DD101573,2024-10-24,10,上衣,卫衣,150.0,1,135.0,90,76.56,西南,米色,M,C10143,56.71
DD102447,2024-09-16,9,裤装,西装裤,460.0,1,460.0,100,223.19,华东,藏青,M,C10134,48.52
DD102282,2024-04-23,4,上衣,卫衣,330.0,2,660.0,100,434.29,华东,米色,XL,C10099,65.8
DD100394,2024-10-05,10,上衣,卫衣,120.0,2,216.0,90,122.8,华东,藏青,L,C10049,56.85
DD102545,2024-03-21,3,连衣裙,衬衫裙,680.0,1,408.0,60,227.18,华南,驼色,XS,C10185,55.68
DD102105,2024-10-17,10,配饰,围巾,140.0,2,280.0,100,179.49,东北,驼色,XXL,C10171,64.1
DD100297,2024-04-06,4,外套,夹克,990.0,1,940.5,95,361.55,东北,藏青,M,C10308,38.44
DD101757,2024-05-17,5,裤装,西装裤,550.0,1,550.0,100,268.56,西南,驼色,L,C10435,48.83
DD100650,2024-05-13,5,裤装,短裤,240.0,1,144.0,60,65.72,华南,驼色,L,C10260,45.64
DD100169,2024-03-05,3,配饰,腰带,230.0,1,230.0,100,145.41,东北,灰色,L,C10187,63.22
DD101226,2024-05-19,5,配饰,包包,90.0,1,90.0,100,56.85,华北,米色,XXL,C10511,63.17
DD101084,2024-02-23,2,外套,风衣,380.0,1,380.0,100,171.47,东北,白色,XXL,C10508,45.12
DD101062,2024-08-27,8,裤装,休闲裤,380.0,1,361.0,95,205.01,华中,米色,L,C10564,56.79
DD101399,2024-08-14,8,外套,夹克,680.0,1,578.0,85,296.55,华东,墨绿,L,C10531,51.31
DD101994,2024-10-19,10,配饰,围巾,290.0,1,203.0,70,138.47,华北,米色,L,C10584,68.21
DD101690,2024-08-23,8,上衣,T恤,180.0,3,513.0,95,323.78,西南,藏青,M,C10241,63.12
DD100606,2024-08-16,8,连衣裙,针织裙,450.0,1,450.0,100,241.92,华中,灰色,XL,C10590,53.76
DD100211,2024-08-10,8,连衣裙,A字裙,220.0,3,462.0,70,258.96,西南,墨绿,M,C10227,56.05
DD101085,2024-04-19,4,连衣裙,吊带裙,680.0,1,646.0,95,323.65,华南,藏青,L,C10096,50.1
DD102486,2024-06-04,6,上衣,衬衫,150.0,1,127.5,85,71.91,华南,藏青,S,C10540,56.4
DD102087,2024-10-13,10,外套,大衣,1290.0,2,2580.0,100,1214.76,东北,白色,S,C10504,47.08
DD101969,2024-01-22,1,上衣,卫衣,370.0,1,351.5,95,190.58,华南,灰色,S,C10294,54.22
DD100890,2024-04-23,4,裤装,西装裤,400.0,1,400.0,100,200.43,华东,藏青,XL,C10027,50.11
DD100234,2024-05-21,5,裤装,牛仔裤,290.0,1,232.0,80,117.42,华东,白色,XS,C10360,50.61
DD100112,2024-06-10,6,外套,大衣,740.0,1,703.0,95,303.05,华北,白色,M,C10355,43.11
DD101613,2024-12-20,12,配饰,帽子,210.0,1,210.0,100,128.52,华中,墨绿,XS,C10219,61.2
DD102595,2024-11-09,11,连衣裙,A字裙,430.0,1,430.0,100,209.89,华中,墨绿,L,C10251,48.81
DD101538,2024-12-04,12,裤装,西装裤,250.0,1,225.0,90,106.75,东北,灰色,M,C10328,47.44
DD100930,2024-10-06,10,连衣裙,吊带裙,530.0,1,450.5,85,243.92,华北,驼色,L,C10210,54.14
DD102459,2024-06-13,6,上衣,衬衫,360.0,4,1440.0,100,857.88,华南,墨绿,M,C10283,59.58
DD100255,2024-05-24,5,上衣,针织衫,240.0,1,240.0,100,125.49,华北,米色,XS,C10463,52.29
DD100052,2024-05-15,5,上衣,衬衫,300.0,1,270.0,90,158.2,东北,米色,XXL,C10572,58.59
DD100247,2024-12-09,12,上衣,T恤,180.0,1,180.0,100,116.63,西南,藏青,M,C10510,64.79
DD102111,2024-05-07,5,上衣,针织衫,260.0,1,247.0,95,139.24,东北,驼色,M,C10029,56.37
DD101682,2024-02-13,2,裤装,休闲裤,430.0,1,430.0,100,232.52,华东,驼色,S,C10065,54.07
DD101367,2024-06-19,6,裤装,西装裤,190.0,1,190.0,100,97.18,西南,驼色,XS,C10584,51.15
DD100227,2024-05-12,5,连衣裙,衬衫裙,540.0,1,513.0,95,316.84,华中,黑色,XL,C10053,61.76
DD101406,2024-08-11,8,连衣裙,A字裙,490.0,2,980.0,100,488.11,东北,黑色,M,C10080,49.81
DD102184,2024-06-16,6,上衣,针织衫,160.0,1,160.0,100,96.99,华北,藏青,M,C10360,60.62
DD101196,2024-08-19,8,外套,夹克,410.0,1,369.0,90,186.74,华北,黑色,M,C10292,50.61
DD100648,2024-08-22,8,连衣裙,针织裙,360.0,1,360.0,100,219.11,华中,墨绿,XL,C10464,60.86
DD102342,2024-01-28,1,上衣,衬衫,200.0,1,160.0,80,93.73,华南,藏青,M,C10338,58.58
DD102540,2024-06-21,6,连衣裙,针织裙,400.0,1,360.0,90,197.82,华东,灰色,M,C10378,54.95
DD102311,2024-05-23,5,上衣,针织衫,110.0,1,110.0,100,67.06,华北,驼色,M,C10110,60.96
DD102239,2024-11-26,11,配饰,围巾,150.0,1,135.0,90,95.85,华中,酒红,L,C10188,71.0
DD102115,2024-10-16,10,上衣,衬衫,110.0,1,93.5,85,52.03,华东,墨绿,M,C10037,55.65
DD100213,2024-02-20,2,上衣,针织衫,230.0,2,368.0,80,233.82,华北,酒红,L,C10493,63.54
DD101671,2024-09-23,9,上衣,T恤,220.0,1,209.0,95,122.13,西南,白色,XL,C10100,58.44
DD100749,2024-12-22,12,配饰,帽子,280.0,1,280.0,100,180.84,东北,墨绿,M,C10530,64.59
DD101488,2024-11-09,11,外套,夹克,910.0,1,910.0,100,426.6,华南,墨绿,XXL,C10078,46.88
DD101712,2024-11-23,11,连衣裙,A字裙,650.0,1,585.0,90,339.97,华东,藏青,M,C10500,58.11
DD102245,2024-09-15,9,连衣裙,衬衫裙,270.0,1,256.5,95,148.54,东北,藏青,XS,C10248,57.91
DD100431,2024-02-07,2,上衣,针织衫,350.0,1,350.0,100,227.97,华南,酒红,L,C10087,65.13
